At_gene	NAME	root1_log_fold	root3_log_fold	root5_log_fold	shoot1_log_fold	shoot3_log_fold	shoot5_log_fold
AT1G01630	Polyphosphoinositide binding protein, putative	0	0	0	-0.452703345666667	0	-0.947938885333333
AT1G01650	Signal peptide peptidase-like 4	0	0	0	0	0	0.582290106
AT1G01660	RING/U-box superfamily protein	-0.957675644333333	0	0	0	0	0
AT1G01680	U-box domain-containing protein 54	1.64855217933333	2.276540456	1.29829036433333	0.649285757666667	0	0
AT1G01690	Putative recombination initiation defects 3	0	0	0	0	0	0
AT1G01710	Acyl-CoA thioesterase family protein	0	0	0	0	0	0
AT1G01720	ATAF1	2.4116852355	3.112164808	0.5713494815	0.6724052755	0	1.898314101
AT1G01730	Putative uncharacterized protein At1g01730	0	0	0	0	0	0
AT1G01740	BSK4	0	0	0	0	0	0
AT1G01750	actin depolymerizing factor 11	0	0	0	0	0	0
AT1G01760	Denosine deaminases acting on tRNA	0	0	0	0	0	0
AT1G01770	Putative uncharacterized protein At1g01770/T1N6_13	0	0	0	0	0	0
AT1G01780	LIM domain-containing protein PLIM2b	0	0	0	0	0	0
AT1G01790	K(+) efflux antiporter 1, chloroplastic	-0.209901601	0	0	-0.5954096974	0	-0.6487911976
AT1G01800	AT1G01800 protein	0	0	0	0	0	0
AT1G01830	Armadillo/beta-catenin-like repeat-containing protein	0	0	0	0	0	0
AT1G01840	At1g01840/T1N6_19	0	0	0	0	0	0
AT1G01860	rRNA adenine N(6)-methyltransferase	0	0	0	0	0	0
AT1G01880	Flap endonuclease GEN-like 1	0	0	0	0	0	0
AT1G01900	Subtilisin-like protease SBT1.1	0	1.08472145	0	0	0	0
AT1G01910	ATPase ASNA1 homolog	0	0	0	0	0	0
AT1G01920	SET domain-containing protein	0	0	0	0	0	0
AT1G01930	F22M8.6 protein	0	0	0	0	0	0
AT1G01940	Peptidyl-prolyl cis-trans isomerase CYP18-1	0	0	0	0	0	0
AT1G01950	Kinesin-like protein	0	-0.696331616	0	-1.195756309	0	-0.851283023
AT1G01960	Brefeldin A-inhibited guanine nucleotide-exchange protein 3	0	0	0	0	0	0
AT1G01970	Pentatricopeptide repeat-containing protein At1g01970	0	0	0	0	0	0
AT1G01980	Berberine bridge enzyme-like 1	0	0	0	0	0	0
AT1G01990	At1g01990	0	0	0	0	0	0
AT1G02000	UDP-glucuronate 4-epimerase 2	0	0	0	0	0	0
AT1G02010	secretory 1A	0	0	0	0	0	0
AT1G02020	Nitroreductase family protein	0	1.854397984	0	0	0	0
AT1G02040	At1g02040	0	0	0	0	0	0
AT1G02050	Type III polyketide synthase A	0	0	0	0	0	0
AT1G02065	SPL8	0	0	0	0	0	0
AT1G02080	CCR4-NOT transcription complex subunit 1 domain protein	0	0.282544226875	0	-0.361821939125	0	0.099563443375
AT1G02090	COP9 signalosome complex subunit 7	0	-0.342394888333333	0	0	0	0
AT1G02100	Leucine carboxyl methyltransferase	0	0	0	0	0	0
AT1G02120	Protein VASCULAR ASSOCIATED DEATH 1, chloroplastic	0	0	0	0	0	0
AT1G02130	Ras-related protein RABD2a	0	0	0	0	0	0
AT1G02140	MEE63	0	-0.337052785666667	0	0	0	-0.301008959
AT1G02145	Dol-P-Man:Man(7)GlcNAc(2)-PP-Dol alpha-1,6-mannosyltransferase	0	-0.340295806666667	0	0	0	-0.547271965333333
AT1G02150	Pentatricopeptide repeat-containing protein At1g02150	0	0	0	-1.132776981	0	-1.347493078
AT1G02160	Cox19 family protein (CHCH motif)	0	0	0	0	0	0
AT1G02170	MCP1b	0.834504109666667	0.130018174	0	0	0.375369257333333	0.710086369666667
AT1G02180	Ferredoxin-like protein	0	0	0	0	0	0
AT1G02190	Protein CER1-like 1	0	0	0	0	0	0
AT1G02205	Fatty acid hydroxylase superfamily	-1.251447192	0	0	0	0	-1.74481918
AT1G02230	NAC004	0	0	0	0	0	0
AT1G02250	NAC domain-containing protein 5	0	0	0	0	0	0
AT1G02260	At1g02260	0	0	0	0	0	0
AT1G02270	Uncharacterized calcium-binding protein At1g02270	0	0	0	0	0	-0.665224686666667
AT1G02280	Translocase of chloroplast 33, chloroplastic	-0.192520992	-0.258036782	0	-0.192741107	0	-0.7470795188
AT1G02305	Cathepsin B-like protease 2	0	0.7996756025	0.22371813675	0.35665509125	0.433199568	0.84160910475
AT1G02310	Glycosyl hydrolase superfamily protein	2.2340044125	5.7812067525	1.29976596	0	3.530786353	6.774075411
AT1G02330	CONTAINS InterPro DOMAIN/s: Hepatocellular carcinoma-associated antigen 59 (InterPro:IPR010756); Has 1239 Blast hits to 998 proteins in 204 species: Archae - 4; Bacteria - 71; Metazoa - 421; Fungi - 109; Plants - 87; Viruses - 5; Other Eukaryotes -  /.../ource: NCBI BLink).	0	-0.35743532	0	0	0	0
AT1G02335	Germin-like protein subfamily 2 member 2	0	0	0	0	0	0
AT1G02370	Pentatricopeptide repeat-containing protein At1g02370, mitochondrial	0	0	0	0	0	0
AT1G02380	T6A9.7 protein	0	1.565013869	0	0	0	0
AT1G02390	GPAT2	1.6675988495	1.4402681115	0	0	2.213623458	1.350529867
AT1G02400	Gibberellin 2-beta-dioxygenase 6	0.44846785425	0.52981006875	0	0	0	0
AT1G02410	Cytochrome c oxidase assembly protein COX11, mitochondrial	0.1875553525	0.17783460925	0	0	0	0
AT1G02420	Putative pentatricopeptide repeat-containing protein At1g02420	0	0	0	0	0	0
AT1G02430	ADP-ribosylation factor D1B	0	0	0	0	0	0
AT1G02460	At1g02460	0	0	0	0	0	0
AT1G02470	SRPBCC ligand-binding domain-containing protein	0	1.00783738	0	1.30935789366667	3.90250155633333	5.15922352766667
AT1G02475	Putative uncharacterized protein At1g02475	0	0	0	-0.418374787	0	0
AT1G02500	S-adenosylmethionine synthase	0	0	0	0	0.5470501825	0.621520693
AT1G02520	ABC transporter B family member 11	1.481232846	2.28004744275	1.36527918875	2.173991137	0.453100184	2.4237591315
AT1G02560	ATP-dependent Clp protease proteolytic subunit	0.27482479875	0.3697607125	0	0	0	-0.1847080475
AT1G02570	Putative uncharacterized protein	0.9456566095	6.1577971805	0	0	0	1.715567964
AT1G02580	Histone-lysine N-methyltransferase MEDEA	0	0	0	0	0	0
AT1G02610	RING/FYVE/PHD zinc finger-containing protein	1.417299061	2.63838410425	0.527809922	-0.62631407275	2.20223004825	2.39475704675
AT1G02630	Equilibrative nucleotide transporter 8	0	0	0	0	0	0
AT1G02640	Probable beta-D-xylosidase 2	0	0	0	-2.854370016	1.523150507	0
AT1G02660	Alpha/beta-Hydrolases superfamily protein	1.550340261	1.9042706115	0.8893839175	0	0.66913740075	1.48406441925
AT1G02680	Transcription initiation factor TFIID subunit 13	0	-0.34237356975	0	0	0	0
AT1G02690	Importin subunit alpha	0	0.8749079165	0	0	0	0
AT1G02700	Putative uncharacterized protein At1g02700	0	0	0	0	0	0
AT1G02720	Probable galacturonosyltransferase-like 5	0	0	0	0	0	0
AT1G02730	Cellulose synthase-like protein D5	0	0	0	0	0	-0.6130711135
AT1G02740	Protein MRG2	0	0	0	0	0	0
AT1G02750	Protein DEHYDRATION-INDUCED 19 homolog 2	1.1463513515	1.3024260265	0.293791064	0.442258547	0	0
AT1G02780	60S ribosomal protein L19-1	0	-0.7322291448	-0.1655450288	0.1372182894	0	0
AT1G02790	Exopolygalacturonase clone GBGE184	0	0	0	0	0	0
AT1G02800	Endoglucanase 1	0	0	0	0	0	0
AT1G02810	Probable pectinesterase/pectinesterase inhibitor 7	0	0.24779960225	0	0	0	0.40186585525
AT1G02816	F22D16.19 protein	0	0	0	0	0	0
AT1G02820	Late embryogenis abundant protein 2	1.21015096766667	1.436322379	0	0	0	0
AT1G02830	Putative 60S ribosomal protein L22-1	0	2.74762549625	0	0	0	0
AT1G02840	Serine/arginine-rich-splicing factor SR34	0	-0.38498886925	0	0	0	-0.254234218
AT1G02850	Beta-glucosidase 11	1.14624186733333	1.468464708	0.695414355	0.730872972666667	1.21506817633333	1.57785646533333
AT1G02860	NLA	2.2328917436	3.4043097922	0.6953450092	0	0	1.5957612592
AT1G02870	At1g02870	0	-0.274886494333333	0	0.369063994	0	0
AT1G02880	thiamin pyrophosphokinase1	0	0	0	0	0	0
AT1G02890	AAA-type ATPase family protein	0	0	0	0	0	0
AT1G02900	RALFL1	0	0.38522616125	0	0	0	0
AT1G02910	Protein LOW PSII ACCUMULATION 1, chloroplastic	0	0	0	0	0	0
AT1G02920	Glutathione S-transferase F7	1.19979318325	1.4605183485	0.46916988625	1.161810921	0	0.76772010125
AT1G02940	glutathione S-transferase (class phi) 5	0	0	0	0	0	0
AT1G02950	glutathione S-transferase F4	0	0	-0.516973619333333	0	0	-0.986139813166667
AT1G02960	Putative uncharacterized protein At1g02960	0	0	0	0	0	0
AT1G02970	Wee1-like protein kinase	0	0	0	0	0	0
AT1G02980	Cullin-2	0	0	0	0	0	0
AT1G02990	BEST Arabidopsis thaliana protein match is: CW-type Zinc Finger (TAIR:AT3G62900.1); Has 5847 Blast hits to 4410 proteins in 438 species: Archae - 17; Bacteria - 452; Metazoa - 2463; Fungi - 354; Plants - 306; Viruses - 11; Other Eukaryotes - 2244 (s /.../ NCBI BLink).	0	0	0	0	0	0
AT1G03000	PEX6	0	0	0	0	0	0
AT1G03010	BTB/POZ domain-containing protein At1g03010	0	0	0	0	0	0
AT1G03020	Monothiol glutaredoxin-S1	0	0	0	0	0	0
AT1G03030	At1g03030	0	0	0	0	0	0
AT1G03040	basic helix-loop-helix (bHLH) DNA-binding superfamily protein	0	-0.394780266	0	0	0	0
AT1G03050	Putative clathrin assembly protein At1g03050	0	0	0	0	0	0
AT1G03055	Beta-carotene isomerase D27, chloroplastic	0	0	0	0	0	-0.9941511285
AT1G03060	Protein SPIRRIG	0	0.476910861875	0	0	0	0
AT1G03070	At1g03070	2.925594038	3.1313463165	0	0	0	0
AT1G03080	Protein NETWORKED 1D	0	0.9499747256	0	0	0	0.682073103
AT1G03090	Methylcrotonoyl-CoA carboxylase subunit alpha, mitochondrial	2.5050379855	3.5721969805	1.1889406865	0	1.3806947065	1.582106903
AT1G03100	Pentatricopeptide repeat-containing protein At1g03100, mitochondrial	0	0	0	0	0	0
AT1G03110	tRNA (guanine-N(7)-)-methyltransferase non-catalytic subunit	0	-0.577478655	0	0	0	0
AT1G03120	Late embryogenesis abundant protein 3	0	0	0	0	0	0
AT1G03140	F10O3.3 protein	0	0.377040559	0	0	0	0
AT1G03150	N-terminal acetyltransferase B complex catalytic subunit NAA20	0	0	0	0	0	0
AT1G03160	Probable transmembrane GTPase FZO-like, chloroplastic	0	0	0	-0.617032125	0	-0.721353844
AT1G03170	Protein FANTASTIC FOUR 2	0	0	0	0	0	0
AT1G03180	Putative uncharacterized protein	0	0	0	0	0	0
AT1G03190	UVH6	0	0	0	0	0	0
AT1G03210	Phenazine biosynthesis PhzC/PhzF protein	0	0.537714163	0	0.4422420835	0	0.725128764
AT1G03220	Aspartyl protease-like protein	2.49770328133333	4.441375735	1.518808722	0.776352572666667	1.471367243	2.42628226633333
AT1G03230	Aspartyl protease-like protein	5.369243448	2.924809447	0	0	0	0
AT1G03250	unknown protein; Has 89 Blast hits to 89 proteins in 31 species: Archae - 0; Bacteria - 0; Metazoa - 31; Fungi - 0; Plants - 48; Viruses - 0; Other Eukaryotes - 10 (source: NCBI BLink).	1.226499493	1.0499198855	0	0	0	0
AT1G03260	At1g03260	0	0	0	0	0	0
AT1G03270	Putative DUF21 domain-containing protein At1g03270	0	0	0	0	0	0
AT1G03280	Putative uncharacterized protein At1g03280	0	0	0	0	0	0
AT1G03290	F15K9.11 protein	0	0	0	0	0	0
AT1G03310	ISA2	0	0	0	0	0	-0.37399240125
AT1G03330	Sm-like protein LSM2	0	0	0	0	0	0
AT1G03350	BSD domain-containing protein	0	0	0	0	0	0
AT1G03360	RRP4	0	0	0	0	0	0
AT1G03365	Putative E3 ubiquitin-protein ligase RF4	0	-0.450694632	0	0	0	0
AT1G03370	C2 and GRAM domain-containing protein At1g03370	0	1.442461745	0.382756221666667	0	0.655651133	0.668299224666667
AT1G03380	Autophagy-related protein 18g	0	0.816600856666667	0	0	0.290696412	0.349049599
AT1G03390	F21B7.2	2.066605101	2.2173426835	0	0	0	0
AT1G03400	2-oxoglutarate (2OG) and Fe(II)-dependent oxygenase superfamily protein	0	0	0	0	0	0
AT1G03410	1-aminocyclopropane-1-carboxylate oxidase homolog 5	0	0	0	0	0	0
AT1G03430	histidine-containing phosphotransfer factor 5	0	0	0	0	0	0
AT1G03440	Leucine-rich repeat-containing protein	0	0	0	1.872414089	0	-1.04746505725
AT1G03457	BRN2	0	0.613440772	0	0	0	-1.071460496
AT1G03470	Protein NETWORKED 3A	0	0	0	0	0	0
AT1G03475	Coproporphyrinogen-III oxidase 1, chloroplastic	0.8709403966	0.00903363280000002	0	-0.5371275252	0	-0.5222720162
AT1G03510	Putative pentatricopeptide repeat-containing protein At1g03510	0	0	0	0	0	0
AT1G03520	Core-2/I-branching beta-1,6-N-acetylglucosaminyltransferase-like protein	0	-0.505201076	0	0	0	0
AT1G03530	F21B7.15	0	-0.356289504333333	0	0	0	0
AT1G03540	Pentatricopeptide repeat-containing protein At1g03540	0	0	0	0	0	0
AT1G03550	Secretory carrier-associated membrane protein 2	0	0	0	0	0	0
AT1G03560	Pentatricopeptide repeat-containing protein At1g03560, mitochondrial	0	-0.565794832	0	0	0	0
AT1G03590	Probable protein phosphatase 2C 1	0.41967208875	0	0	-0.7633352405	0	-0.93364692775
AT1G03600	PSB27	-1.09529234075	-0.67157575075	-0.55109234175	-0.40181400875	0	-1.38653916175
AT1G03610	Putative uncharacterized protein	0	0	0	-0.19782182	0	-0.2265425906
AT1G03620	ELMO/CED-12 family protein	0	-1.0070260395	0	0	0	0
AT1G03630	PORC	-2.1648314855	-0.7354984245	-0.3161738055	-1.403132669	0	-1.99108298575
AT1G03650	Acyl-CoA N-acyltransferases-like protein	0	0	0	0	0	0
AT1G03670	Ankyrin repeats-containing protein	0	0	0	0	0	0
AT1G03680	Thioredoxin M1, chloroplastic	0	0	0	-1.3364807625	0	-1.4647641735
AT1G03687	DTW domain-containing protein	0	-1.263890429	0	0	0	0
AT1G03700	CASP-like protein	0	0	0	0	0	0
AT1G03710	Cystatin/monellin-related protein	0	0	0	0	0	0
AT1G03730	At1g03730	0	0	0	0	0	0
AT1G03740	F21B7.34	0	0.3745680635	0	0	0	0.627400235
AT1G03750	Switch 2	1.5311467485	1.473667326	0.6829004165	0	0	1.217692731
AT1G03760	Prefoldin chaperone subunit family protein	0	-0.721107585	0	0	0	0
AT1G03770	Putative E3 ubiquitin-protein ligase RING1b	0	0	0	0	0	0
AT1G03780	Protein TPX2	0	-0.5739652242	0	0	-0.4442976856	0
AT1G03790	Zinc finger CCCH domain-containing protein 2	0	0	0	0	3.62846061325	5.79074988225
AT1G03820	At1g03820	0	-0.286133378	0	0	0	-0.4019853985
AT1G03830	Guanylate-binding protein	0	0	0	0	0	0
AT1G03840	MGP	0	-0.92820406925	0	0	0	0
AT1G03850	Glutaredoxin family protein	0.8372140528	2.883730061	0.7815837472	1.1547220884	2.038408219	2.5332416016
AT1G03860	Prohibitin-2, mitochondrial	0	-0.289021193333333	0	0	0	0
AT1G03870	At1g03870	-3.3655491085	-0.428671466	-2.9648984055	-1.6039784955	0	-3.4112180895
AT1G03880	CRU2	0	0	0	0	0	0
AT1G03890	12S seed storage protein CRD	0	0	0	0	0	0
AT1G03900	NAP4	0	0.242860043333333	0	0.385619312666667	0	0
AT1G03905	ABC transporter I family member 19	0	0	0	0	0	0
AT1G03910	Cactin	0	0.25822802125	0	0	0	0
AT1G03920	Putative serine/threonine protein kinase	0	0	0	0	0	0
AT1G03930	Casein kinase 1-like protein 9	0	0	0	-0.766761711	0	0
AT1G03940	Coumaroyl-CoA:anthocyanidin 3-O-glucoside-6''-O-coumaroyltransferase 1	0	0	0	0	0	0
AT1G03950	Vacuolar protein sorting-associated protein 2 homolog 3	0	0.8877321455	0.37105771175	0	0	0
AT1G03960	Probable serine/threonine protein phosphatase 2A regulatory subunit B''epsilon	0	0	0	0	0	0
AT1G03970	G-box-binding factor 4	0	0	0	0	0	1.513209681
AT1G03980	phytochelatin synthase 2	2.018595666	1.982815216	0	0	0	0
AT1G03982	CRIB domain-containing protein RIC8	0	0	0	0	0	0
AT1G03990	Long-chain-alcohol oxidase FAO1	0	0	0	0	0	2.287497904
AT1G04000	F21M11.6 protein	0	-0.85624732125	0	0	0	0
AT1G04010	Phospholipid--sterol O-acyltransferase	0	0	0	0.39907988225	0	0.40061023575
AT1G04020	ROW1	0	-0.578438101666667	0	0	0	0
AT1G04030	unknown protein; BEST Arabidopsis thaliana protein match is: unknown protein (TAIR:AT5G44040.1); Has 1835 Blast hits to 1511 proteins in 238 species: Archae - 7; Bacteria - 164; Metazoa - 377; Fungi - 135; Plants - 187; Viruses - 22; Other Eukaryote /.../3 (source: NCBI BLink).	0	0	0	0	0	0
AT1G04040	At1g04040/F21M11_2	-2.49961669275	0	-1.971645836	-1.0429931535	0.340778252	-1.48896514875
AT1G04080	Pre-mRNA-processing factor 39	0	0	0	0	0	0
AT1G04090	At1g04090	0	0	0	0	0	0
AT1G04100	Auxin-responsive protein IAA10	1.9693501185	2.144451252	0	0.7055191335	0	0
AT1G04110	SDD1	0	0	0	0	0	-3.391599286
AT1G04120	MRP5	0	0	0	0	0	0
AT1G04130	Carboxylate clamp-tetratricopeptide repeat protein	0	0	0	0	0	0
AT1G04140	Transducin/WD-40 repeat-containing protein	0	0	0	0	0	0
AT1G04150	C2 calcium/lipid-binding plant phosphoribosyltransferase family protein	0	-2.056115258	0	0	0	0
AT1G04160	Myosin-8	0	0	0	0	0	0
AT1G04170	eIF2 GAMMA	0	-0.308947379333333	0	0	0	0
AT1G04180	Flavin-containing monooxygenase	0	0.61098548575	0	0	0	0
AT1G04190	Carboxylate clamp-tetratricopeptide repeat protein	0	-0.951487329	0	0	0	0
AT1G04200	Putative uncharacterized protein At1g04200	0	-0.222015642	0	0	0	0
AT1G04210	At1g04210	0	0.36418019525	0	0	0	0
AT1G04220	3-ketoacyl-CoA synthase 2	0	0	0	0	0	-0.802388194
AT1G04240	AUX/IAA transcriptional regulator family protein	-1.88433495125	-0.86305106225	-0.784130565	-1.9741702165	0	-2.86945091575
AT1G04250	Auxin-responsive protein	-0.280560609833333	0.3595369935	-2.06077034733333	-0.502581141166667	0	-2.542548194
AT1G04260	PRA1 family protein D	0	0.946208307	0	0	0	0
AT1G04270	40S ribosomal protein S15-1	0	-0.566239599	0	0	0	-0.148352089333333
AT1G04280	Putative uncharacterized protein At1g04280	0.283884743	0.63094422825	0	0	0	0
AT1G04290	F19P19.27 protein	0	2.2593707205	0	0	0	0
AT1G04300	MATH domain-containing protein	0	0.13161221675	0	0	0	0.234164358125
AT1G04310	Ethylene response sensor 2	2.895164555	0	0	2.317181897	0	2.357952913
AT1G04330	At1g04330	0	0	0	0	0	0
AT1G04340	At1g04340/F19P19_23	0	-0.857597716	0	0	0	0
AT1G04350	1-aminocyclopropane-1-carboxylate oxidase homolog 6	2.44562053222222	1.57265732133333	0.375886741333333	2.98774395266667	1.86440502966667	2.23162913088889
AT1G04360	RING-H2 finger protein ATL1	0	0	0	0	0	0
AT1G04370	Putative uncharacterized protein At1g04370	0	0	0	0	0	0
AT1G04380	1-aminocyclopropane-1-carboxylate oxidase homolog 7	0	0	0	0	0	0
AT1G04390	BTB/POZ domain-containing protein At1g04390	0	0.941091925333333	0	0	0	0
AT1G04400	Cryptochrome 2	-1.009474309	0	0	-0.87050307325	0	-0.319773957
AT1G04410	Malate dehydrogenase	-0.23272364875	0.15111085525	0	0	0	0
AT1G04420	NAD(P)-linked oxidoreductase superfamily protein	0	0.82813366	0	-1.23260665	0	-1.736144145
AT1G04430	Probable methyltransferase PMT8	-0.8177025105	-0.78916535475	0	0	0	-1.4253095135
AT1G04440	Casein kinase 1-like protein 13	0.5456588998	1.0051407146	0.249339514	0	0	0.6605298636
AT1G04450	CRIB domain-containing protein RIC3	0	0	0	0	0	0
AT1G04470	F19P19.6 protein	0	0	0	0	0	0
AT1G04480	At2g33370	-0.319026658666667	-1.406918175	-0.154888857833333	0.416658570333333	-0.450200277	-0.314527529333333
AT1G04500	CCT motif-containing protein	0	0	0	0	0	0
AT1G04510	Pre-mRNA-processing factor 19 homolog 1	0	0	0	0	0	0
AT1G04520	Cysteine-rich repeat secretory protein 3	-0.691436839	-2.107357981	-0.9479107375	0	0	-2.2664255355
AT1G04530	Carboxylate clamp-tetratricopeptide repeat protein	0	0	0	0	0	-0.801912425
AT1G04540	Calcium-dependent lipid-binding domain-containing protein	0	0	0	0	0	0
AT1G04550	Auxin-responsive protein IAA12	0	-0.444766905	0	0	0	0
AT1G04555	Putative uncharacterized protein	0	0	0	0	0	0
AT1G04560	AWPM-19-like family protein	0	0	0	0	0	1.3967887835
AT1G04570	Probable folate-biopterin transporter 8, chloroplastic	0	0	0	0	0	0
AT1G04580	Benzaldehyde dehydrogenase (NAD(+))	0	0	0.7212754325	0	0	1.983727761
AT1G04590	BEST Arabidopsis thaliana protein match is: Pentatricopeptide repeat (PPR) superfamily protein (TAIR:AT4G21190.1); Has 111 Blast hits to 111 proteins in 15 species: Archae - 0; Bacteria - 0; Metazoa - 0; Fungi - 0; Plants - 109; Viruses - 0; Other E /.../tes - 2 (source: NCBI BLink).	0	-0.39327435625	0	0	0	0
AT1G04600	Myosin-7	0	0	0	0	0	0
AT1G04610	Probable indole-3-pyruvate monooxygenase YUCCA3	0	0	0	0	0	0
AT1G04620	7-hydroxymethyl chlorophyll a reductase, chloroplastic	0	0	0	0	0	0
AT1G04630	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 13-A	0	0	0	0	0	0
AT1G04640	LIP2	0	0	0	0	0	0
AT1G04650	unknown protein; Has 30201 Blast hits to 17322 proteins in 780 species: Archae - 12; Bacteria - 1396; Metazoa - 17338; Fungi - 3422; Plants - 5037; Viruses - 0; Other Eukaryotes - 2996 (source: NCBI BLink).	0	0	0	0	0	0
AT1G04660	Glycine-rich protein	0	0	0	0	0	0
AT1G04670	Putative uncharacterized protein	0	0	0	0	0	0
AT1G04680	Pectate lyase	-1.0714625516	-0.5310153264	-0.335326213	-0.2710195204	0	-0.6015895302
AT1G04690	Probable voltage-gated potassium channel subunit beta	0	-0.358608067	0	0	0	0
AT1G04700	PB1 domain-containing protein tyrosine kinase	0	1.00355806	0	0	0	0
AT1G04710	PKT4	0	0	0	0	0	0
AT1G04730	CTF18	0	0	0	0	0	0
AT1G04750	Putative vesicle-associated membrane protein, synaptobrevin 7B	0	0	0	0	0	0
AT1G04770	Protein SULFUR DEFICIENCY-INDUCED 2	1.92186532233333	0.611240088333333	0	0	0	0.907171229666667
AT1G04780	Ankyrin repeat-containing protein	0	0	0	0	0	0
AT1G04790	At1g04790	0	0.504209352	0	0	0	0
AT1G04800	At1g04800	0	0	0	0	0	-1.90435138
AT1G04820	Tubulin alpha-2 chain	-0.378672944333333	-0.491141915666667	0	0	0	-0.685440740333333
AT1G04830	RabGAP/TBC domain-containing protein	0	0.124995389428571	0	0	0	0
AT1G04840	Pentatricopeptide repeat-containing protein At1g04840	0	0	0	0	0	0
AT1G04850	F13M7.16 protein	0	-0.1819645888	0	0	0	0
AT1G04860	Ubiquitinyl hydrolase 1	0	0	0	0	0	0
AT1G04870	PRMT10	0	0	0	0	0	0
AT1G04880	High mobility group B protein 15	0	0	0	0	0	0
